id,protocol_name,chain_name,last_scanned_block,updated_at
7,relay,base,33949233,2025-08-08 23:18:10
8,portals,ethereum,23099567,2025-08-08 23:18:13
9,portals,polygon,74969322,2025-08-08 23:18:14
10,portals,arbitrum,366413691,2025-08-08 23:18:15
11,portals,optimism,139548159,2025-08-08 23:18:16
12,portals,base,33952874,2025-08-08 23:18:17
13,zerox,ethereum,23099569,2025-08-08 23:18:26
14,zerox,polygon,74969327,2025-08-08 23:18:27
15,zerox,optimism,139548165,2025-08-08 23:18:28
16,zerox,arbitrum,366413751,2025-08-08 23:18:30
17,zerox,base,33952881,2025-08-08 23:18:31
18,zerox,bsc,56929391,2025-08-08 23:18:32
25,butterswap,ethereum,23120356,2025-08-11 21:01:38
26,butterswap,polygon,75087425,2025-08-11 21:02:19
27,butterswap,optimism,139673681,2025-08-11 21:03:01
28,butterswap,arbitrum,367419745,2025-08-11 21:08:45
29,butterswap,base,34078589,2025-08-11 21:09:27
30,butterswap,bsc,57264640,2025-08-11 21:09:52
